database,batch_time,batch_cpu,batch_memory,batch_time_per_record,number of records inserted
Postgres,0.005362987518310547,14.9,10519.6015625,0.0005362987518310547,10
MongoDB,0.024788379669189453,22.6,10529.90234375,0.0024788379669189453,10
Redis,0.014112234115600586,18.1,10529.7109375,0.0014112234115600587,10
Neo4j,0.10092282295227051,17.6,10530.671875,0.01009228229522705,10
Cassandra,0.008362293243408203,34.8,10530.671875,0.0008362293243408203,10
Postgres,0.03722572326660156,15.9,10531.65234375,0.0003722572326660156,100
MongoDB,0.01962423324584961,22.2,10533.09375,0.0001962423324584961,100
Redis,0.06745195388793945,21.7,10533.09375,0.0006745195388793945,100
Neo4j,0.5428683757781982,25.6,10513.95703125,0.005428683757781982,100
Cassandra,0.07477831840515137,27.9,10514.19140625,0.0007477831840515136,100
Postgres,0.1613001823425293,21.7,10514.3515625,0.0001613001823425293,1000
MongoDB,0.04687309265136719,18.7,10514.7421875,4.6873092651367186e-05,1000
Redis,0.2486422061920166,43.5,10599.7109375,0.0002486422061920166,1000
Neo4j,28.780874013900757,19.3,10695.58984375,0.028780874013900757,1000
Cassandra,0.6210033893585205,19.1,10696.046875,0.0006210033893585205,1000
Postgres,0.3545355796813965,19.6,10697.109375,0.0003545355796813965,1000
Postgres,0.12488508224487305,18.5,10699.25390625,0.00012488508224487306,1000
Postgres,0.13011789321899414,15.6,10699.5703125,0.00013011789321899415,1000
Postgres,0.12577223777770996,16.2,10700.96484375,0.00012577223777770997,1000
Postgres,0.2588541507720947,16.3,10705.765625,0.0002588541507720947,1000
Postgres,0.25353574752807617,18.0,10706.8203125,0.00025353574752807616,1000
Postgres,0.13144993782043457,13.9,10683.3203125,0.00013144993782043457,1000
Postgres,0.12526345252990723,16.8,10683.4609375,0.00012526345252990723,1000
Postgres,0.12137794494628906,17.9,10674.21875,0.00012137794494628906,1000
Postgres,0.1207418441772461,15.8,10676.84375,0.00012074184417724609,1000
MongoDB,0.06085848808288574,15.3,10677.3359375,6.085848808288574e-05,1000
MongoDB,0.04660916328430176,19.0,10676.99609375,4.660916328430176e-05,1000
MongoDB,0.03731846809387207,21.9,10683.5234375,3.731846809387207e-05,1000
MongoDB,0.03607058525085449,28.1,10704.14453125,3.607058525085449e-05,1000
MongoDB,0.024889230728149414,10.0,10704.14453125,2.4889230728149414e-05,1000
MongoDB,0.022782564163208008,10.0,10704.38671875,2.278256416320801e-05,1000
MongoDB,0.023577451705932617,18.2,10704.625,2.357745170593262e-05,1000
MongoDB,0.02251291275024414,5.9,10704.625,2.251291275024414e-05,1000
MongoDB,0.035413503646850586,10.0,10705.08984375,3.5413503646850585e-05,1000
MongoDB,0.026532411575317383,13.0,10705.3046875,2.6532411575317382e-05,1000
Redis,0.17172718048095703,15.8,10708.671875,0.00017172718048095702,1000
Redis,0.150252103805542,19.2,10707.625,0.00015025210380554199,1000
Redis,0.1484699249267578,16.8,10707.84765625,0.0001484699249267578,1000
Redis,0.14093828201293945,15.5,10707.84375,0.00014093828201293946,1000
Redis,0.13988828659057617,15.9,10708.29296875,0.00013988828659057618,1000
Redis,0.1396794319152832,18.4,10708.29296875,0.0001396794319152832,1000
Redis,0.13616085052490234,16.5,10708.7734375,0.00013616085052490235,1000
Redis,0.13876867294311523,16.2,10708.7734375,0.00013876867294311524,1000
Redis,0.32735776901245117,69.6,10757.43359375,0.0003273577690124512,1000
Redis,0.20770931243896484,36.7,10751.69921875,0.00020770931243896485,1000
Neo4j,5.5280985832214355,19.8,10720.09375,0.005528098583221436,1000
Neo4j,7.218524694442749,20.9,11001.484375,0.007218524694442749,1000
Neo4j,3.528879165649414,31.0,10916.13671875,0.003528879165649414,1000
Neo4j,3.89901065826416,23.0,10877.5390625,0.0038990106582641603,1000
Neo4j,3.5563387870788574,17.9,10881.23828125,0.0035563387870788574,1000
Neo4j,3.8574185371398926,18.3,10882.28125,0.0038574185371398925,1000
Neo4j,3.9594030380249023,18.8,10898.9921875,0.003959403038024902,1000
Neo4j,3.585505962371826,16.9,10892.82421875,0.003585505962371826,1000
Neo4j,3.939755916595459,20.0,10942.12109375,0.003939755916595459,1000
Neo4j,3.597018003463745,17.9,10933.0703125,0.003597018003463745,1000
Cassandra,0.39823031425476074,18.5,10933.03515625,0.00039823031425476074,1000
Cassandra,0.414900541305542,16.5,10933.24609375,0.000414900541305542,1000
Cassandra,0.4009833335876465,16.0,10933.65234375,0.0004009833335876465,1000
Cassandra,0.4239499568939209,20.9,10912.19140625,0.0004239499568939209,1000
Cassandra,0.41669392585754395,23.1,10912.68359375,0.00041669392585754394,1000
Cassandra,0.4146425724029541,18.6,10913.22265625,0.0004146425724029541,1000
Cassandra,0.3940584659576416,16.6,10884.39453125,0.0003940584659576416,1000
Cassandra,0.41712379455566406,18.5,10912.13671875,0.0004171237945556641,1000
Cassandra,0.41405773162841797,17.5,10912.62890625,0.00041405773162841796,1000
Cassandra,0.3977475166320801,17.4,10913.3515625,0.00039774751663208005,1000
Postgres,0.18969106674194336,17.7,10825.41796875,0.00018969106674194335,1000
Postgres,0.18000316619873047,18.7,10826.06640625,0.00018000316619873048,1000
Postgres,0.12133455276489258,16.3,10828.08203125,0.00012133455276489258,1000
Postgres,0.12657427787780762,16.2,10828.48046875,0.0001265742778778076,1000
Postgres,0.12455105781555176,15.2,10829.48046875,0.00012455105781555175,1000
Postgres,0.1463792324066162,24.0,10867.59375,0.0001463792324066162,1000
Postgres,0.17776823043823242,35.8,10864.44921875,0.00017776823043823243,1000
Postgres,0.15105509757995605,38.3,10924.328125,0.00015105509757995606,1000
Postgres,0.16159987449645996,42.1,10939.25390625,0.00016159987449645996,1000
Postgres,0.1693711280822754,44.1,10944.31640625,0.0001693711280822754,1000
Postgres,0.1675264835357666,45.7,10959.453125,0.0001675264835357666,1000
Postgres,0.17232084274291992,51.7,10972.16015625,0.0001723208427429199,1000
Postgres,0.21149301528930664,51.4,10981.9296875,0.00021149301528930665,1000
Postgres,0.1802232265472412,54.9,10960.24609375,0.0001802232265472412,1000
Postgres,0.15419745445251465,37.3,10915.9765625,0.00015419745445251464,1000
Postgres,0.12492060661315918,16.8,10918.6484375,0.0001249206066131592,1000
Postgres,0.1557786464691162,18.3,10924.6015625,0.00015577864646911622,1000
Postgres,0.12632036209106445,18.7,10945.19140625,0.00012632036209106446,1000
Postgres,0.1260526180267334,15.2,10945.45703125,0.0001260526180267334,1000
Postgres,0.14179491996765137,18.0,10944.94921875,0.00014179491996765137,1000
Postgres,0.13359642028808594,18.7,10947.625,0.00013359642028808595,1000
Postgres,0.13105082511901855,30.4,11096.83203125,0.00013105082511901856,1000
Postgres,0.17419838905334473,43.7,10975.6875,0.00017419838905334472,1000
Postgres,0.146484375,30.3,11146.5078125,0.000146484375,1000
Postgres,0.17848896980285645,39.6,10964.46875,0.00017848896980285643,1000
Postgres,0.1493055820465088,17.5,10970.28125,0.00014930558204650878,1000
Postgres,0.13113760948181152,17.1,10972.69140625,0.0001311376094818115,1000
Postgres,0.1378788948059082,16.5,10972.96875,0.0001378788948059082,1000
Postgres,0.12717151641845703,16.8,10973.48828125,0.00012717151641845702,1000
Postgres,0.12310957908630371,16.5,10974.70703125,0.00012310957908630372,1000
Postgres,0.13201141357421875,17.0,10965.8515625,0.00013201141357421876,1000
Postgres,0.13245511054992676,16.4,10965.69140625,0.00013245511054992676,1000
Postgres,0.12698936462402344,16.0,10957.66015625,0.00012698936462402343,1000
Postgres,0.12350130081176758,18.7,10957.8125,0.00012350130081176757,1000
Postgres,0.11918902397155762,17.5,10957.82421875,0.00011918902397155762,1000
Postgres,0.12268280982971191,16.5,10958.4453125,0.0001226828098297119,1000
Postgres,0.12099838256835938,14.9,10958.84765625,0.00012099838256835938,1000
Postgres,0.12942981719970703,17.4,10960.859375,0.00012942981719970704,1000
Postgres,0.12445545196533203,16.0,10961.8359375,0.00012445545196533204,1000
Postgres,0.13113617897033691,18.0,10937.16015625,0.0001311361789703369,1000
Postgres,0.12724018096923828,18.2,10915.0703125,0.00012724018096923827,1000
